Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0,00;0,00;0,00;0,00;0,00;0,00;0,00
0,00;15,00;0,00;0,00;0,00;0,00;20,00
0,00;30,00;0,00;0,00;0,00;0,00;40,00
0,00;45,00;0,00;0,00;0,00;0,00;60,00
0,00;60,00;0,00;0,00;0,00;0,00;80,00
0,00;75,00;0,00;0,00;0,00;0,00;100,00
0,00;90,00;0,00;0,00;0,00;0,00;120,00
0,00;105,00;0,00;0,00;0,00;0,00;140,00
0,00;120,00;0,00;0,00;0,00;0,00;160,00
0,00;135,00;0,00;0,00;0,00;0,00;180,00
0,00;150,00;0,00;0,00;0,00;0,00;200,00
0,00;165,00;0,00;0,00;0,00;0,00;220,00
0,00;180,00;0,00;0,00;0,00;0,00;240,00
0,00;195,00;0,00;0,00;0,00;0,00;260,00
0,00;210,00;0,00;0,00;0,00;0,00;280,00
0,00;225,00;0,00;0,00;0,00;0,00;300,00
0,00;240,00;0,00;0,00;0,00;0,00;320,00
0,00;255,00;0,00;0,00;0,00;0,00;340,00
0,00;270,00;0,00;0,00;0,00;0,00;360,00
0,00;285,00;0,00;0,00;0,00;0,00;380,00
0,00;300,00;0,00;0,00;0,00;0,00;400,00
0,00;315,00;0,00;0,00;0,00;0,00;420,00
0,00;330,00;0,00;0,00;0,00;0,00;440,00
0,00;345,00;0,00;0,00;0,00;0,00;460,00
0,00;360,00;0,00;0,00;0,00;0,00;480,00
0,00;375,00;0,00;0,00;0,00;0,00;500,00
0,00;390,00;0,00;0,00;0,00;0,00;520,00
0,00;405,00;0,00;0,00;0,00;0,00;540,00
0,00;420,00;0,00;0,00;0,00;0,00;560,00
0,00;435,00;0,00;0,00;0,00;0,00;580,00
0,00;450,00;0,00;0,00;0,00;0,00;600,00
0,00;465,00;0,00;0,00;0,00;0,00;620,00
0,00;480,00;0,00;0,00;0,00;0,00;640,00
0,00;495,00;0,00;0,00;0,00;0,00;660,00
