Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0,00;0,00;0,00;0,00;0,00;0,00;16,00
0,00;4,00;0,00;0,00;0,00;0,00;32,00
0,00;8,00;0,00;0,00;0,00;0,00;48,00
0,00;12,00;0,00;0,00;0,00;0,00;64,00
0,00;16,00;0,00;0,00;0,00;0,00;80,00
0,00;20,00;0,00;0,00;0,00;0,00;96,00
0,00;24,00;0,00;0,00;0,00;0,00;112,00
0,00;28,00;0,00;0,00;0,00;0,00;128,00
0,00;32,00;0,00;0,00;0,00;0,00;144,00
0,00;36,00;0,00;0,00;0,00;0,00;160,00
0,00;40,00;0,00;0,00;0,00;0,00;176,00
0,00;44,00;0,00;0,00;0,00;0,00;192,00
0,00;48,00;0,00;0,00;0,00;0,00;208,00
0,00;52,00;0,00;0,00;0,00;0,00;224,00
0,00;56,00;0,00;0,00;0,00;0,00;240,00
0,00;60,00;0,00;0,00;0,00;0,00;256,00
0,00;64,00;0,00;0,00;0,00;0,00;272,00
0,00;68,00;0,00;0,00;0,00;0,00;288,00
0,00;72,00;0,00;0,00;0,00;0,00;304,00
0,00;76,00;0,00;0,00;0,00;0,00;320,00
0,00;80,00;0,00;0,00;0,00;0,00;336,00
0,00;84,00;0,00;0,00;0,00;0,00;352,00
0,00;88,00;0,00;0,00;0,00;0,00;368,00
0,00;92,00;0,00;0,00;0,00;0,00;384,00
0,00;96,00;0,00;0,00;0,00;0,00;400,00
0,00;100,00;0,00;0,00;0,00;0,00;416,00
0,00;104,00;0,00;0,00;0,00;0,00;432,00
0,00;108,00;0,00;0,00;0,00;0,00;448,00
0,00;112,00;0,00;0,00;0,00;0,00;464,00
0,00;116,00;0,00;0,00;0,00;0,00;480,00
0,00;120,00;0,00;0,00;0,00;0,00;496,00
0,00;124,00;0,00;0,00;0,00;0,00;512,00
0,00;128,00;0,00;0,00;0,00;0,00;528,00
0,00;132,00;0,00;0,00;0,00;0,00;544,00
0,00;136,00;0,00;0,00;0,00;0,00;560,00
0,00;140,00;0,00;0,00;0,00;0,00;576,00
0,00;144,00;0,00;0,00;0,00;0,00;592,00
0,00;148,00;0,00;0,00;0,00;0,00;608,00
0,00;152,00;0,00;0,00;0,00;0,00;624,00
0,00;156,00;0,00;0,00;0,00;0,00;640,00
0,00;160,00;0,00;0,00;0,00;0,00;656,00
0,00;164,00;0,00;0,00;0,00;0,00;672,00
0,00;168,00;0,00;0,00;0,00;0,00;688,00
0,00;172,00;0,00;0,00;0,00;0,00;704,00
0,00;176,00;0,00;0,00;0,00;0,00;720,00
0,00;180,00;0,00;0,00;0,00;0,00;736,00
0,00;184,00;0,00;0,00;0,00;0,00;752,00
0,00;188,00;0,00;0,00;0,00;0,00;768,00
0,00;192,00;0,00;0,00;0,00;0,00;784,00
0,00;196,00;0,00;0,00;0,00;0,00;800,00
0,00;200,00;0,00;0,00;0,00;0,00;816,00
0,00;204,00;0,00;0,00;0,00;0,00;832,00
0,00;208,00;0,00;0,00;0,00;0,00;848,00
0,00;212,00;0,00;0,00;0,00;0,00;864,00
0,00;216,00;0,00;0,00;0,00;0,00;880,00
0,00;220,00;0,00;0,00;0,00;0,00;896,00
0,00;224,00;0,00;0,00;0,00;0,00;912,00
0,00;228,00;0,00;0,00;0,00;0,00;928,00
0,00;232,00;0,00;0,00;0,00;0,00;944,00
0,00;236,00;0,00;0,00;0,00;0,00;960,00
0,00;240,00;0,00;0,00;0,00;0,00;976,00
0,00;244,00;0,00;0,00;0,00;0,00;992,00
0,00;248,00;0,00;0,00;0,00;0,00;1008,00
0,00;252,00;0,00;0,00;0,00;0,00;1024,00
0,00;256,00;0,00;0,00;0,00;0,00;1040,00
0,00;260,00;0,00;0,00;0,00;0,00;1056,00
0,00;264,00;0,00;0,00;0,00;0,00;1072,00
0,00;268,00;0,00;0,00;0,00;0,00;1088,00
0,00;272,00;0,00;0,00;0,00;0,00;1104,00
0,00;276,00;0,00;0,00;0,00;0,00;1120,00
0,00;280,00;0,00;0,00;0,00;0,00;1136,00
0,00;284,00;0,00;0,00;0,00;0,00;1152,00
0,00;288,00;0,00;0,00;0,00;0,00;1168,00
0,00;292,00;0,00;0,00;0,00;0,00;1184,00
