Tx (mm);Ty (mm);Tz (mm);Rx (deg);Ry (deg);Rz (deg);time (ms)
0,00;0,00;0,00;0,00;0,00;0,00;15875882,00
0,16;2,24;1,16;2,69;2,80;-1,09;15875902,00
0,31;4,49;2,32;5,38;5,61;-2,19;15875922,00
0,46;6,73;3,47;8,07;8,41;-3,28;15875942,00
0,62;8,97;4,63;10,75;11,21;-4,37;15875962,00
0,77;11,21;5,79;13,44;14,02;-5,46;15875982,00
0,93;13,45;6,95;16,13;16,82;-6,56;15876002,00
-1,04;14,78;7,46;18,25;18,97;-9,50;15876022,00
-3,01;16,10;7,97;20,36;21,12;-12,45;15876042,00
-4,98;17,42;8,48;22,48;23,26;-15,39;15876062,00
-6,95;18,74;8,99;24,59;25,41;-18,34;15876082,00
-8,92;20,06;9,50;26,71;27,56;-21,28;15876102,00
-10,89;21,38;10,01;28,82;29,71;-24,23;15876122,00
-12,86;22,70;10,52;30,94;31,86;-27,17;15876142,00
-14,83;24,02;11,03;33,05;34,01;-30,12;15876162,00
-16,80;25,34;11,53;35,17;36,16;-33,06;15876182,00
-18,77;26,66;12,04;37,28;38,30;-36,01;15876202,00
-20,74;27,98;12,55;39,40;40,45;-38,95;15876222,00
-22,71;29,30;13,06;41,51;42,60;-41,90;15876242,00
-24,68;30,62;13,57;43,63;44,75;-44,84;15876262,00
-26,65;31,94;14,08;45,75;46,90;-47,79;15876282,00
-28,62;33,26;14,59;47,86;49,05;-50,73;15876302,00
-30,59;34,58;15,10;49,98;51,19;-53,68;15876322,00
-32,56;35,90;15,61;52,09;53,34;-56,62;15876342,00
-34,53;37,23;16,12;54,21;55,49;-59,57;15876362,00
-36,50;38,55;16,63;56,32;57,64;-62,51;15876382,00
-38,47;39,87;17,14;58,44;59,79;-65,46;15876402,00
-40,44;41,19;17,65;60,55;61,94;-68,40;15876422,00
-42,41;42,51;18,16;62,67;64,09;-71,35;15876442,00
-44,38;43,83;18,67;64,78;66,23;-74,29;15876462,00
-46,35;45,15;19,18;66,90;68,38;-77,24;15876482,00
-48,32;46,47;19,69;69,01;70,53;-80,18;15876502,00
-50,29;47,79;20,20;71,13;72,68;-83,13;15876522,00
-52,26;49,11;20,71;73,25;74,83;-86,07;15876542,00
-54,23;50,43;21,22;75,36;76,98;-89,02;15876562,00
-56,20;51,75;21,73;77,48;79,12;-91,96;15876582,00
-58,17;53,07;22,24;79,59;81,27;-94,91;15876602,00
-60,14;54,39;22,75;81,71;83,42;-97,85;15876622,00
-62,11;55,71;23,26;83,82;85,57;-100,80;15876642,00
-64,08;57,03;23,76;85,94;87,72;-103,74;15876662,00
-66,05;58,35;24,27;88,05;89,87;-106,69;15876682,00
-65,52;57,20;24,51;90,83;89,10;-111,97;15876702,00
-64,99;56,04;24,76;93,61;88,34;-117,25;15876722,00
-64,46;54,89;25,00;96,39;87,57;-122,53;15876742,00
-63,93;53,73;25,24;99,17;86,81;-127,81;15876762,00
-63,41;52,58;25,48;101,95;86,04;-133,09;15876782,00
-62,88;51,42;25,72;104,73;85,28;-138,37;15876802,00
-62,35;50,26;25,96;107,51;84,51;-143,65;15876822,00
-61,82;49,11;26,20;110,29;83,75;-148,93;15876842,00
-61,29;47,95;26,44;113,07;82,98;-154,21;15876862,00
-60,77;46,80;26,68;115,85;82,22;-159,49;15876882,00
-60,24;45,64;26,92;118,63;81,45;-164,77;15876902,00
