Tx (mm);Ty (mm);Tz (mm);time (ms)
0,00;0,00;0,00;15875882,00
0,16;2,24;1,16;15875902,00
0,31;4,49;2,32;15875922,00
0,46;6,73;3,47;15875942,00
0,62;8,97;4,63;15875962,00
0,77;11,21;5,79;15875982,00
0,93;13,45;6,95;15876002,00
-1,04;14,78;7,46;15876022,00
-3,01;16,10;7,97;15876042,00
-4,98;17,42;8,48;15876062,00
-6,95;18,74;8,99;15876082,00
-8,92;20,06;9,50;15876102,00
-10,89;21,38;10,01;15876122,00
-12,86;22,70;10,52;15876142,00
-14,83;24,02;11,03;15876162,00
-16,80;25,34;11,53;15876182,00
-18,77;26,66;12,04;15876202,00
-20,74;27,98;12,55;15876222,00
-22,71;29,30;13,06;15876242,00
-24,68;30,62;13,57;15876262,00
-26,65;31,94;14,08;15876282,00
-28,62;33,26;14,59;15876302,00
-30,59;34,58;15,10;15876322,00
-32,56;35,90;15,61;15876342,00
-34,53;37,23;16,12;15876362,00
-36,50;38,55;16,63;15876382,00
-38,47;39,87;17,14;15876402,00
-40,44;41,19;17,65;15876422,00
-42,41;42,51;18,16;15876442,00
-44,38;43,83;18,67;15876462,00
-46,35;45,15;19,18;15876482,00
-48,32;46,47;19,69;15876502,00
-50,29;47,79;20,20;15876522,00
-52,26;49,11;20,71;15876542,00
-54,23;50,43;21,22;15876562,00
-56,20;51,75;21,73;15876582,00
-58,17;53,07;22,24;15876602,00
-60,14;54,39;22,75;15876622,00
-62,11;55,71;23,26;15876642,00
-64,08;57,03;23,76;15876662,00
-66,05;58,35;24,27;15876682,00
-65,52;57,20;24,51;15876702,00
-64,99;56,04;24,76;15876722,00
-64,46;54,89;25,00;15876742,00
-63,93;53,73;25,24;15876762,00
-63,41;52,58;25,48;15876782,00
-62,88;51,42;25,72;15876802,00
-62,35;50,26;25,96;15876822,00
-61,82;49,11;26,20;15876842,00
-61,29;47,95;26,44;15876862,00
-60,77;46,80;26,68;15876882,00
-60,24;45,64;26,92;15876902,00
